p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FCGR2A,2.65508427037627e-16,0.286655456461108,0.874,0.711,2.65349121981405e-12,M2,FCGR2A
TNF,3.19012293996119e-16,0.358697517158014,0.308,0.072,3.18820886619721e-12,M2,TNF
HLA-DQA2,3.89620625060719e-16,0.413879431778693,0.59,0.27,3.89386852685682e-12,M2,HLA-DQA2
SIRPA,3.8991846157699e-16,0.329749776057369,0.355,0.112,3.89684510500044e-12,M2,SIRPA
NMB,4.06475133401609e-16,0.395036654310263,0.358,0.118,4.06231248321568e-12,M2,NMB
CCL18,8.86765142325851e-16,0.480687311586628,0.309,0.069,8.86233083240455e-12,M2,CCL18
TFRC,1.46864803306696e-15,0.348715137267613,0.725,0.503,1.46776684424712e-11,M2,TFRC
TXNIP,1.54293740258315e-15,0.35158321633239,0.892,0.628,1.5420116401416e-11,M2,TXNIP
CLEC12A,1.65456400711098e-15,0.30390456020097,0.272,0.053,1.65357126870672e-11,M2,CLEC12A
B3GNT7,1.94615400457903e-15,0.320060056715505,0.271,0.056,1.94498631217629e-11,M2,B3GNT7
PAG1,2.14220709549218e-15,0.372644359986867,0.475,0.27,2.14092177123488e-11,M2,PAG1
OSBPL11,2.89166466406181e-15,0.325066971740696,0.325,0.099,2.88992966526338e-11,M2,OSBPL11
SCPEP1,3.52657278063938e-15,0.34552543451184,0.567,0.365,3.524456836971e-11,M2,SCPEP1
GLIPR2,3.67560182454826e-15,0.27733355944489,0.762,0.668,3.67339646345353e-11,M2,GLIPR2
GPX3,6.49490127189914e-15,0.366853500933687,0.367,0.138,6.491004331136e-11,M2,GPX3
C3AR1,9.51372543964193e-15,0.317828787335741,0.33,0.095,9.50801720437815e-11,M2,C3AR1
DOCK8,9.63992840105196e-15,0.328239888611322,0.382,0.158,9.63414444401133e-11,M2,DOCK8
TFPT,1.45268983662111e-14,0.319157634157315,0.429,0.194,1.45181822271914e-10,M2,TFPT
OSCAR,3.52955005699956e-14,0.289889595316109,0.256,0.053,3.52743232696536e-10,M2,OSCAR
SCGB1A1,3.69488506725382e-14,0.401811763573946,0.538,0.299,3.69266813621347e-10,M2,SCGB1A1
SCGB3A1,4.25137586486256e-14,0.430963766300744,0.607,0.375,4.24882503934364e-10,M2,SCGB3A1
MTRNR2L8,4.41156504837656e-14,0.388706535605985,0.549,0.342,4.40891810934753e-10,M2,MTRNR2L8
CEBPB,5.80787611732595e-14,0.327757611043102,0.731,0.648,5.80439139165556e-10,M2,CEBPB
GYPC,6.15563866089024e-14,0.322284202011196,0.624,0.362,6.15194527769371e-10,M2,GYPC
FKBP15,6.56154944544625e-14,0.292178502336958,0.297,0.086,6.55761251577899e-10,M2,FKBP15
KLF2,7.06324290529362e-14,0.354437979296452,0.395,0.164,7.05900495955045e-10,M2,KLF2
HDDC2,7.28610511629904e-14,0.322634035027468,0.525,0.345,7.28173345322926e-10,M2,HDDC2
GLRX,9.74331685060804e-14,0.266075537117891,0.775,0.651,9.73747086049767e-10,M2,GLRX
BRI3,1.00819190566118e-13,0.315636420504811,0.578,0.418,1.00758699051779e-09,M2,BRI3
FCGR1A,1.41969796519993e-13,0.309294618997024,0.5,0.266,1.41884614642081e-09,M2,FCGR1A
TSPAN3,1.78525238865343e-13,0.323676396663679,0.379,0.181,1.78418123722023e-09,M2,TSPAN3
SLC31A1,1.99328211984935e-13,0.293042399385772,0.328,0.115,1.99208615057744e-09,M2,SLC31A1
PSME4,2.61560512801913e-13,0.279745344894583,0.268,0.066,2.61403576494232e-09,M2,PSME4
PPIC,4.81916764065818e-13,0.301527261329169,0.349,0.141,4.81627614007378e-09,M2,PPIC
EGR2,7.08038927690138e-13,0.305959163442797,0.284,0.086,7.07614104333524e-09,M2,EGR2
PTMS,7.13754783207284e-13,0.271662641139371,0.254,0.062,7.1332653033736e-09,M2,PTMS
MT1G,7.37541875688814e-13,0.448044522780356,0.251,0.056,7.37099350563401e-09,M2,MT1G
SORT1,7.67114773467553e-13,0.284267071108478,0.277,0.086,7.66654504603473e-09,M2,SORT1
HNMT,1.61411433517493e-12,0.277484478782886,0.686,0.526,1.61314586657382e-08,M2,HNMT
ESF1,1.76645972787526e-12,0.265754037119992,0.269,0.079,1.76539985203853e-08,M2,ESF1
CORO1C,2.02269487340275e-12,0.266385219844654,0.649,0.536,2.02148125647871e-08,M2,CORO1C
RHOB,2.60874162827833e-12,0.306861727205408,0.654,0.487,2.60717638330136e-08,M2,RHOB
MAN1A1,4.30545536216355e-12,0.276156543199735,0.306,0.112,4.30287208894625e-08,M2,MAN1A1
NPTN,6.67020344225863e-12,0.277772213996056,0.299,0.112,6.66620132019328e-08,M2,NPTN
DHRS3,8.21902922377322e-12,0.258385332253642,0.274,0.089,8.21409780623895e-08,M2,DHRS3
JAML,1.50661497189356e-11,0.272569020329916,0.5,0.28,1.50571100291043e-07,M2,JAML
POM121,1.96443261065637e-11,0.258760165578807,0.259,0.076,1.96325395108998e-07,M2,POM121
B3GNT5,2.61593122555221e-11,0.285788048245993,0.632,0.48,2.61436166681688e-07,M2,B3GNT5
SLFN11,2.62096157376856e-11,0.250362611329726,0.287,0.102,2.6193889968243e-07,M2,SLFN11
CRIP1,2.8550870011487e-11,0.31221795298656,0.571,0.408,2.85337394894801e-07,M2,CRIP1
SGMS2,3.04510971858659e-11,0.287698037000619,0.297,0.122,3.04328265275543e-07,M2,SGMS2
APIP,4.05960572201658e-11,0.274448322886475,0.362,0.171,4.05716995858337e-07,M2,APIP
AQP3,7.55091110447196e-11,0.290521877262765,0.417,0.257,7.54638055780928e-07,M2,AQP3
MX1,7.93265757599848e-11,0.280451772316449,0.302,0.118,7.92789798145288e-07,M2,MX1
BRD2,1.91617388948812e-10,0.258560005071555,0.66,0.572,1.91502418515442e-06,M2,BRD2
TREM1,2.74563306566636e-10,0.259360928355634,0.691,0.586,2.74398568582696e-06,M2,TREM1
ATP1B1,4.06708214244727e-10,0.296037582626923,0.507,0.352,4.0646418931618e-06,M2,ATP1B1
CTDNEP1,6.76021961119981e-10,0.265281445998358,0.405,0.263,6.75616347943309e-06,M2,CTDNEP1
THBD,7.40015278704148e-10,0.313769216871217,0.604,0.444,7.39571269536925e-06,M2,THBD
TCF7L2,1.31459973348173e-09,0.263903856236216,0.445,0.25,1.31381097364164e-05,M2,TCF7L2
DNAJA4,1.40848988280479e-09,0.27287827185924,0.646,0.526,1.4076447888751e-05,M2,DNAJA4
MT1F,1.60154858637996e-09,0.259477754664584,0.29,0.122,1.60058765722813e-05,M2,MT1F
PDK4,1.68685576044771e-09,0.279437575145045,0.283,0.118,1.68584364699144e-05,M2,PDK4
JUND,1.98792651668159e-09,0.25451632240746,0.731,0.671,1.98673376077158e-05,M2,JUND
ACSL1,3.37588828922264e-09,0.257543933516804,0.571,0.441,3.3738627562491e-05,M2,ACSL1
STX12,3.39990087641968e-09,0.261883509290828,0.447,0.332,3.39786093589383e-05,M2,STX12
MT1X,3.41719034187418e-09,0.449783464773388,0.484,0.336,3.41514002766906e-05,M2,MT1X
PLD3,3.93316922445755e-09,0.269188653944668,0.575,0.408,3.93080932292287e-05,M2,PLD3
IFI27,6.02190114898843e-09,0.574164020388771,0.302,0.151,6.01828800829904e-05,M2,IFI27
EFHD2,8.9173955438522e-09,0.26100759772132,0.479,0.359,8.91204510652589e-05,M2,EFHD2
FUCA1,1.16083067574625e-08,0.255497595436488,0.355,0.194,0.000116013417734081,M2,FUCA1
THBS1,1.53361331026487e-08,0.263274977843908,0.682,0.47,0.000153269314227871,M2,THBS1
KCNQ1OT1,0.000127664977280501,0.257675261628375,0.342,0.26,1,M2,KCNQ1OT1
TMEM176B,2.25831275335414e-50,0.833090927175955,0.685,0.155,2.25695776570213e-46,M0,TMEM176B
SRGN,3.64479466877105e-44,0.476821168178463,0.994,0.943,3.64260779196979e-40,M0,SRGN
OSM,5.72499502794835e-39,0.539646291935493,0.309,0.023,5.72156003093158e-35,M0,OSM
CDA,1.7664284459351e-37,0.301054558715514,0.259,0.012,1.76536858886754e-33,M0,CDA
VCAN,1.49269249842123e-36,0.661506737051869,0.556,0.13,1.49179688292218e-32,M0,VCAN
LYZ,2.25739690253441e-35,0.431825644156555,1,0.974,2.25604246439289e-31,M0,LYZ
TMEM176A,6.28378295750142e-35,0.588513286991149,0.586,0.144,6.28001268772692e-31,M0,TMEM176A
TRGC2,1.24830325716555e-33,0.424294126382151,0.364,0.05,1.24755427521125e-29,M0,TRGC2
SLC25A37,8.68524100990985e-33,0.53860794079084,0.531,0.134,8.68002986530391e-29,M0,SLC25A37
RGS18,3.14721995755561e-31,0.372668656597978,0.321,0.04,3.14533162558107e-27,M0,RGS18
SORL1,2.08694298988742e-27,0.432513888029112,0.457,0.109,2.08569082409349e-23,M0,SORL1
FGL2,1.5842283353184e-26,0.412668926432829,0.457,0.109,1.58327779831721e-22,M0,FGL2
CFD,1.76738689536303e-26,0.761203322998564,0.759,0.509,1.76632646322581e-22,M0,CFD
RP11-1143G9.4,9.13030845705101e-26,0.605728013100054,0.907,0.686,9.12483027197678e-22,M0,RP11-1143G9.4
MS4A6A,9.86235638346332e-24,0.545587157740876,0.84,0.522,9.85643896963324e-20,M0,MS4A6A
SPINK1,6.06536415046642e-23,0.41837550058956,0.438,0.115,6.06172493197614e-19,M0,SPINK1
FCN1,7.00135971006941e-23,0.491313421295738,0.302,0.056,6.99715889424337e-19,M0,FCN1
JUNB,3.30571012656229e-22,0.435311419072175,0.932,0.741,3.30372670048636e-18,M0,JUNB
BIN2,1.1408233956858e-21,0.279042824919921,0.272,0.044,1.14013890164839e-17,M0,BIN2
S100A8,1.15623262267512e-20,0.576515128569123,0.809,0.51,1.15553888310151e-16,M0,S100A8
SLC44A1,1.5048929868446e-20,0.36215320498047,0.37,0.099,1.5039900510525e-16,M0,SLC44A1
ZNF331,3.63946275255892e-20,0.521950477581272,0.599,0.252,3.63727907490739e-16,M0,ZNF331
SCGB3A2,9.41279451236164e-20,0.262143272221013,0.278,0.051,9.40714683565423e-16,M0,SCGB3A2
PMP22,1.01593779947783e-19,0.477345948002618,0.636,0.259,1.01532823679814e-15,M0,PMP22
AIF1,5.58210507950693e-18,0.274627266363249,0.981,0.89,5.57875581645922e-14,M0,AIF1
CSF3R,1.20077701281451e-17,0.332701057108314,0.42,0.127,1.20005654660682e-13,M0,CSF3R
HSPA6,3.07118262460517e-17,0.572065267512808,0.716,0.406,3.06933991503041e-13,M0,HSPA6
HES1,6.34857718860611e-17,0.430841572076139,0.364,0.109,6.34476804229295e-13,M0,HES1
C10orf54,8.17964715908969e-17,0.375994677168042,0.494,0.192,8.17473937079424e-13,M0,C10orf54
DNTTIP2,1.52661334480093e-16,0.407773684801643,0.525,0.224,1.52569737679405e-12,M0,DNTTIP2
SLC2A3,5.84303426711807e-16,0.537682932591213,0.704,0.446,5.8395284465578e-12,M0,SLC2A3
NR4A2,3.06362792269919e-15,0.455883557616623,0.642,0.325,3.06178974594557e-11,M0,NR4A2
PIGR,3.33736859714819e-15,0.29784411923848,0.358,0.108,3.3353661759899e-11,M0,PIGR
SAMSN1,3.63274803272842e-15,0.418008424529981,0.636,0.33,3.63056838390878e-11,M0,SAMSN1
CTSH,5.57254773704136e-15,0.347083443565924,0.914,0.692,5.56920420839913e-11,M0,CTSH
PLAC8,1.5364191275185e-14,0.534375557383646,0.66,0.518,1.53549727604199e-10,M0,PLAC8
NR4A1,2.4293232902177e-14,0.401633901703194,0.765,0.482,2.42786569624357e-10,M0,NR4A1
TKT,2.83802070539555e-14,0.341165188723755,0.858,0.707,2.83631789297232e-10,M0,TKT
RGS2,4.21849326716381e-14,0.429482587667481,0.722,0.383,4.21596217120351e-10,M0,RGS2
FAM45A,1.5035766806754e-13,0.271684536619711,0.34,0.111,1.502674534667e-09,M0,FAM45A
EREG,3.64732316480882e-13,0.462572396739059,0.352,0.13,3.64513477090993e-09,M0,EREG
PIM1,4.02987784459024e-13,0.327762599719843,0.37,0.137,4.02745991788349e-09,M0,PIM1
SFTPB,5.50387319455828e-13,0.291321830686011,0.414,0.161,5.50057087064154e-09,M0,SFTPB
ITGAM,7.83945686439458e-13,0.265543061226698,0.284,0.088,7.83475319027595e-09,M0,ITGAM
CD69,1.07643228715252e-12,0.311214561144414,0.352,0.127,1.07578642778023e-08,M0,CD69
PDE4B,1.37401509150756e-12,0.312659051820898,0.414,0.174,1.37319068245266e-08,M0,PDE4B
CNBP,1.78767990223324e-12,0.306803029806553,0.883,0.678,1.7866072942919e-08,M0,CNBP
SOD2,4.52601863333188e-12,0.369339188216198,0.84,0.647,4.52330302215189e-08,M0,SOD2
LCP2,5.83288019001835e-12,0.332507661855344,0.543,0.28,5.82938046190434e-08,M0,LCP2
PLAUR,1.18272354651876e-11,0.323588680798075,0.864,0.749,1.18201391239084e-07,M0,PLAUR
IER3,1.70296636815656e-11,0.379477555003839,0.784,0.51,1.70194458833566e-07,M0,IER3
UPP1,1.72335838292163e-11,0.280086619349782,0.901,0.778,1.72232436789187e-07,M0,UPP1
ARL4A,2.67460823631202e-11,0.365305147855686,0.679,0.504,2.67300347137023e-07,M0,ARL4A
HMGB2,2.87580339690554e-11,0.359050381025815,0.611,0.339,2.87407791486739e-07,M0,HMGB2
DNAJB6,4.4688600362209e-11,0.305438361813824,0.877,0.727,4.46617872019917e-07,M0,DNAJB6
HSPA8,9.51253554504142e-11,0.282050443948397,0.92,0.746,9.5068280237144e-07,M0,HSPA8
CTSA,1.84987985346254e-10,0.309522662831614,0.735,0.55,1.84876992555046e-06,M0,CTSA
CXCR4,2.27866140465287e-10,0.345685063595548,0.63,0.359,2.27729420781008e-06,M0,CXCR4
BTG1,2.30640347344336e-10,0.349809182381028,0.79,0.588,2.30501963135929e-06,M0,BTG1
UBE2D1,2.49923749071992e-10,0.296686773860012,0.636,0.395,2.49773794822549e-06,M0,UBE2D1
UBAC2,2.6520053907497e-10,0.272055974654178,0.377,0.17,2.65041418751525e-06,M0,UBAC2
BASP1,2.87003929355582e-10,0.356539738097904,0.506,0.279,2.86831726997968e-06,M0,BASP1
PTGES3,4.37369977795568e-10,0.252628884160656,0.858,0.748,4.3710755580889e-06,M0,PTGES3
CORO1A,6.3402080442355e-10,0.268874853576923,0.463,0.211,6.33640391940896e-06,M0,CORO1A
ERRFI1,7.19000243909844e-10,0.372769225241916,0.543,0.326,7.18568843763498e-06,M0,ERRFI1
MB21D1,8.42443955867288e-10,0.267678764327727,0.383,0.161,8.41938489493768e-06,M0,MB21D1
TRA2B,1.13140316661632e-09,0.314609166001051,0.864,0.622,1.13072432471635e-05,M0,TRA2B
CD48,1.39835977144491e-09,0.266409562271635,0.395,0.181,1.39752075558204e-05,M0,CD48
ANKRD37,1.67924437287687e-09,0.281460804558821,0.333,0.144,1.67823682625315e-05,M0,ANKRD37
CLK1,3.06036734033209e-09,0.29681233425597,0.821,0.616,3.05853111992789e-05,M0,CLK1
UGP2,3.41940647805351e-09,0.293415576760953,0.716,0.479,3.41735483416668e-05,M0,UGP2
CPVL,3.58938938434186e-09,0.315931283393998,0.556,0.351,3.58723575071126e-05,M0,CPVL
PTP4A1,6.44165328561237e-09,0.290875489084911,0.66,0.422,6.437788293641e-05,M0,PTP4A1
IRF2BP2,6.98124387595363e-09,0.268493302102345,0.488,0.263,6.97705512962806e-05,M0,IRF2BP2
EMP1,8.84180861861269e-09,0.443072651532952,0.309,0.143,8.83650353344152e-05,M0,EMP1
VEGFA,9.78121947450483e-09,0.269612376632974,0.34,0.154,9.77535074282012e-05,M0,VEGFA
CKS2,1.28919192915238e-08,0.358028732719882,0.667,0.466,0.000128841841399488,M0,CKS2
EIF3E,1.76014492034111e-08,0.254847688402049,0.84,0.68,0.00017590888333889,M0,EIF3E
ICAM1,2.2849824121635e-08,0.257295659915698,0.481,0.256,0.000228361142271621,M0,ICAM1
