p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
PHLDA3,2.86894598845331e-06,0.2650935138159,0.508,0.28,0.0286722462086024,0,PHLDA3
NCEH1,4.50431067146408e-06,0.264807555812067,0.565,0.354,0.045016080850612,0,NCEH1
CCL18,4.62480615532511e-06,0.310446515686383,0.403,0.21,0.0462203127163191,0,CCL18
STOM,6.15713041010187e-06,0.252689264836266,0.75,0.606,0.061534361318558,0,STOM
MIR3945HG,2.407089278017e-05,0.260361313541916,0.548,0.324,0.240564502445019,0,MIR3945HG
MGST1,5.42335718390444e-05,0.262000161821805,0.5,0.359,0.542010316959409,0,MGST1
MIR3945HG1,2.77544647983563e-24,0.631548235610251,0.748,0.295,2.77378121194773e-20,1,MIR3945HG
SCGB3A11,7.65281525812622e-23,0.634240025705432,0.984,0.47,7.64822356897134e-19,1,SCGB3A1
PPDPF,5.45092372860228e-21,0.350311086038297,0.967,0.837,5.44765317436512e-17,1,PPDPF
SCGB1A11,1.67001866817559e-20,0.55376241753318,0.902,0.401,1.66901665697469e-16,1,SCGB1A1
CD521,2.38984479334788e-17,0.373621788843789,0.992,0.859,2.38841088647187e-13,1,CD52
TPTEP1,4.25570722258967e-17,0.332500896240719,0.35,0.086,4.25315379825612e-13,1,TPTEP1
SPOCD11,1.02197346034914e-16,0.402597338723909,0.407,0.114,1.02136027627293e-12,1,SPOCD1
FAM89A,2.66938358124159e-16,0.370994600920673,0.439,0.138,2.66778195109284e-12,1,FAM89A
INHBA1,4.83981089152802e-16,0.526915020182168,0.935,0.505,4.83690700499311e-12,1,INHBA
RP11-598F7.3,1.03236839483099e-15,0.454650332594211,0.764,0.348,1.03174897379409e-11,1,RP11-598F7.3
MT2A1,1.81131528627074e-15,0.521136951729953,0.943,0.722,1.81022849709898e-11,1,MT2A
SUSD1,2.06838512109545e-15,0.356563458899009,0.39,0.114,2.06714409002279e-11,1,SUSD1
CSF1,4.06998768083972e-15,0.414483228674797,0.382,0.116,4.06754568823121e-11,1,CSF1
MT1E1,4.72903308788262e-15,0.604773336605149,0.593,0.26,4.72619566802989e-11,1,MT1E
RND3,6.93679165123161e-15,0.524886015999006,0.626,0.277,6.93262957624087e-11,1,RND3
S100P1,1.11703399267099e-13,0.343004403159187,0.35,0.102,1.11636377227539e-09,1,S100P
NOP10,1.44179266772941e-13,0.262153586304787,1,0.894,1.44092759212877e-09,1,NOP10
PHLDA1,2.0672866560638e-13,0.418400271877941,0.813,0.534,2.06604628407016e-09,1,PHLDA1
MSR11,1.72229764286356e-12,0.419880986446575,0.984,0.646,1.72126426427785e-08,1,MSR1
FABP41,3.48097708720684e-12,0.588383735285017,0.959,0.523,3.47888850095452e-08,1,FABP4
CRIP11,6.10767051377481e-12,0.38868502697222,0.772,0.484,6.10400591146655e-08,1,CRIP1
YBX1,8.37836715956895e-11,0.251699698059646,0.967,0.851,8.37334013927321e-07,1,YBX1
ACOT7,8.82425950530044e-11,0.332970606603663,0.455,0.187,8.81896494959726e-07,1,ACOT7
THBD,1.13248685615938e-10,0.385124711678118,0.805,0.518,1.13180736404569e-06,1,THBD
HPGD1,1.34511838756811e-10,0.289143360216157,0.35,0.125,1.34431131653557e-06,1,HPGD
SNX101,1.63150963072581e-10,0.334445025526921,0.846,0.601,1.63053072494738e-06,1,SNX10
PAG1,3.46188180348367e-10,0.36265278218921,0.626,0.38,3.45980467440158e-06,1,PAG1
PRSS211,5.1342395627408e-10,0.291995806275315,0.398,0.154,5.13115901900315e-06,1,PRSS21
RAB11FIP1,5.7668245183964e-10,0.341482933231497,0.634,0.378,5.76336442368536e-06,1,RAB11FIP1
PHLDA31,5.91646549911691e-10,0.336893983173756,0.577,0.271,5.91291561981744e-06,1,PHLDA3
PCOLCE21,7.68996538805478e-10,0.283563497364675,0.39,0.149,7.68535140882195e-06,1,PCOLCE2
MT1X1,7.93793697141415e-10,0.489338452598359,0.667,0.405,7.9331742092313e-06,1,MT1X
CA21,8.44560092181435e-10,0.335037218314074,0.48,0.219,8.44053356126126e-06,1,CA2
GCHFR1,9.80980599145272e-10,0.344698123397911,0.902,0.684,9.80392010785785e-06,1,GCHFR
PPARG1,1.14931057214244e-09,0.359558081669125,0.732,0.389,1.14862098579915e-05,1,PPARG
B3GNT5,1.36076914159109e-09,0.316006531870526,0.789,0.555,1.35995268010614e-05,1,B3GNT5
TNNI21,1.50000351182105e-09,0.314759824521168,0.488,0.215,1.49910350971395e-05,1,TNNI2
BCL2L1,1.71365343971577e-09,0.254425617856718,0.35,0.133,1.71262524765194e-05,1,BCL2L1
PLEKHO2,2.63129379916218e-09,0.305289679973615,0.504,0.257,2.62971502288268e-05,1,PLEKHO2
TSPYL1,2.93855732375887e-09,0.25156544518777,0.35,0.137,2.93679418936461e-05,1,TSPYL1
ARRDC41,4.57503496921377e-09,0.305827073478359,0.358,0.147,4.57228994823225e-05,1,ARRDC4
S100A131,5.4728186882386e-09,0.306817254321221,0.764,0.536,5.46953499702566e-05,1,S100A13
SIRPA,7.83940103334085e-09,0.316769870964694,0.504,0.247,7.83469739272084e-05,1,SIRPA
PTPN12,1.08577311784926e-08,0.315223022870284,0.626,0.399,0.000108512165397855,1,PTPN12
MT1G1,1.19199119665077e-08,0.361426736670957,0.39,0.162,0.000119127600193278,1,MT1G
CHP1,1.28870525734152e-08,0.308926431909112,0.683,0.431,0.000128793203418712,1,CHP1
MACC11,1.57806331131502e-08,0.266565300149972,0.407,0.174,0.000157711647332823,1,MACC1
ABCG11,1.70215166024506e-08,0.295877285832357,0.561,0.265,0.000170113036924892,1,ABCG1
MT-ND4L1,2.35318661081604e-08,0.277088259135868,0.87,0.735,0.000235177469884955,1,MT-ND4L
TGM21,3.37983096590765e-08,0.317865350371579,0.821,0.6,0.000337780306732811,1,TGM2
LINC01272,3.3923670264286e-08,0.260500541007164,0.902,0.763,0.000339033160621274,1,LINC01272
EVI2B,4.45464490417073e-08,0.282585004564032,0.846,0.645,0.000445197211722822,1,EVI2B
SVIL,7.63456620822819e-08,0.288885675423859,0.602,0.344,0.000762998546850325,1,SVIL
UBASH3B,8.54796675508511e-08,0.291650665468751,0.439,0.211,0.000854283797503206,1,UBASH3B
CEBPB,1.19249393429906e-07,0.269351795233997,0.878,0.68,0.00119177843793848,1,CEBPB
MAFF,1.29089793267471e-07,0.284125289299357,0.488,0.257,0.00129012339391511,1,MAFF
AC090498.1,1.50948406823792e-07,0.273333552768034,0.707,0.499,0.00150857837779698,1,AC090498.1
BHLHE411,3.27314162519337e-07,0.28179755482642,0.496,0.261,0.00327117774021825,1,BHLHE41
LASP1,3.71750330984786e-07,0.263294130117535,0.512,0.3,0.00371527280786195,1,LASP1
MTRNR2L81,5.88800268217354e-07,0.274189702259007,0.699,0.454,0.00588446988056424,1,MTRNR2L8
NMB,7.820247519149e-07,0.324440397670505,0.463,0.258,0.00781555537063751,1,NMB
MME,8.23104763599129e-07,0.278638650716794,0.537,0.287,0.0082261090074097,1,MME
TFPT,1.29252367367375e-06,0.25014809829555,0.537,0.33,0.0129174815946955,1,TFPT
CCDC88A,1.68058973136e-06,0.256356830459098,0.675,0.497,0.0167958137752118,1,CCDC88A
MCEMP11,3.08503510387857e-06,0.267026655639262,0.902,0.694,0.0308318408281625,1,MCEMP1
FHL1,3.50345149796354e-06,0.256963678158315,0.496,0.259,0.0350134942706476,1,FHL1
LPL,7.73812102063893e-06,0.26334189996567,0.772,0.428,0.0773347814802654,1,LPL
RASGEF1B,3.96815481690786e-05,0.259619348434403,0.699,0.516,0.396577392401772,1,RASGEF1B
SPINK1,5.8986187920975e-67,0.778041109438249,0.726,0.093,5.89507962082224e-63,2,SPINK1
TMEM176B,1.23379663265309e-57,0.887927315703137,0.855,0.16,1.23305635467349e-53,2,TMEM176B
TMEM176A,4.38415583766763e-49,0.775446644305447,0.744,0.146,4.38152534416503e-45,2,TMEM176A
CLEC10A,1.0687571415426e-42,0.344863493610924,0.256,0.006,1.06811588725767e-38,2,CLEC10A
PIGR,5.35352083543606e-40,0.564339311207488,0.556,0.094,5.35030872293479e-36,2,PIGR
PMP22,5.49936317553983e-39,0.765645460704913,0.821,0.254,5.4960635576345e-35,2,PMP22
TREM2,9.27501206833487e-39,0.818210043720485,0.88,0.358,9.26944706109387e-35,2,TREM2
NAPSA,2.16833968581963e-36,0.467308247713016,0.453,0.067,2.16703868200814e-32,2,NAPSA
HSPA6,2.32655760995062e-35,0.909461067879476,0.932,0.393,2.32516167538465e-31,2,HSPA6
SFTPB,1.7275988512787e-34,0.566923146673209,0.615,0.147,1.72656229196793e-30,2,SFTPB
NPC2,3.98342824147669e-32,0.343757222567517,1,0.956,3.9810381845318e-28,2,NPC2
HOPX,4.74410060747874e-32,0.47964289841035,0.547,0.122,4.74125414711425e-28,2,HOPX
CAMK1,1.17308426806156e-30,0.411281848777067,0.342,0.041,1.17238041750072e-26,2,CAMK1
RGS1,2.88418169758205e-29,0.763262556949217,0.778,0.254,2.8824511885635e-25,2,RGS1
SCGB3A2,1.3516270787218e-28,0.372227900846947,0.359,0.052,1.35081610247456e-24,2,SCGB3A2
HLA-DMB,1.08314595414075e-27,0.575273196852984,0.94,0.64,1.08249606656826e-23,2,HLA-DMB
CD84,1.78431054117377e-27,0.362545392455801,0.368,0.054,1.78323995484906e-23,2,CD84
RNASE6,3.19577927564949e-27,0.585743856335382,0.65,0.202,3.1938618080841e-23,2,RNASE6
SLC40A1,3.87931308091256e-27,0.482717679411722,0.291,0.034,3.87698549306402e-23,2,SLC40A1
HLA-DOA,6.63595939362414e-25,0.331109907284586,0.325,0.046,6.63197781798796e-21,2,HLA-DOA
RGS2,1.72014692645309e-24,0.695109692752565,0.846,0.384,1.71911483829721e-20,2,RGS2
FGL2,3.56809604000202e-24,0.472453440181328,0.496,0.122,3.56595518237802e-20,2,FGL2
MARCKS,6.92128511322855e-23,0.476382093939659,0.487,0.127,6.91713234216061e-19,2,MARCKS
MS4A6A,2.38003309080084e-22,0.575526212545764,0.889,0.532,2.37860507094636e-18,2,MS4A6A
C1orf54,3.879206746357e-22,0.316740445239746,0.291,0.043,3.87687922230918e-18,2,C1orf54
CD14,1.50320296504957e-21,0.612128489418873,0.658,0.257,1.50230104327054e-17,2,CD14
LILRB4,3.86473438753947e-20,0.42197680631965,0.453,0.123,3.86241554690695e-16,2,LILRB4
RASSF4,5.38507530075606e-20,0.46825281095125,0.538,0.174,5.3818442555756e-16,2,RASSF4
PRDM1,9.97104173910196e-20,0.35360718451487,0.299,0.051,9.9650591140585e-16,2,PRDM1
ID3,1.11804529754535e-19,0.554336721428294,0.641,0.234,1.11737447036683e-15,2,ID3
LGALS1,2.99918473963844e-19,0.272621355076263,0.991,0.961,2.99738522879466e-15,2,LGALS1
ZFP36L1,6.37161581871841e-19,0.540244181203512,0.786,0.352,6.36779284922718e-15,2,ZFP36L1
SFTA2,3.38529053741211e-18,0.27205066572465,0.291,0.056,3.38325936308967e-14,2,SFTA2
ZNF331,3.62582239254989e-18,0.580253460835811,0.632,0.265,3.62364689911436e-14,2,ZNF331
LPAR6,9.4482922473853e-17,0.32954274349026,0.333,0.078,9.44262327203687e-13,2,LPAR6
AIF1,1.39921678663648e-16,0.29457941548465,0.974,0.896,1.3983772565645e-12,2,AIF1
HLA-DQB1,3.41510407664847e-16,0.337992589337574,1,0.903,3.41305501420248e-12,2,HLA-DQB1
RGS10,5.46406211414172e-16,0.463685405251553,0.803,0.458,5.46078367687324e-12,2,RGS10
CXCR4,1.29865312376516e-15,0.498931993357751,0.735,0.359,1.2978739318909e-11,2,CXCR4
HSPA8,1.69340990345376e-15,0.416740770934681,0.974,0.747,1.69239385751169e-11,2,HSPA8
BAG3,3.64983281562919e-15,0.495057250097284,0.855,0.62,3.64764291593982e-11,2,BAG3
PPIB,3.70723299438817e-15,0.41957726998092,0.863,0.605,3.70500865459154e-11,2,PPIB
GIMAP4,8.170072566596e-15,0.329681191706156,0.393,0.112,8.16517052305604e-11,2,GIMAP4
C1QC1,4.03437098310925e-14,0.415585573459627,0.915,0.723,4.03195036051939e-10,2,C1QC
CORO1A,5.05385294149818e-14,0.446766021331884,0.521,0.217,5.05082062973328e-10,2,CORO1A
ELF3,6.00254600336671e-14,0.323507833911862,0.47,0.166,5.99894447576469e-10,2,ELF3
LGMN,1.27696917362896e-13,0.536279358850906,0.496,0.217,1.27620299212478e-09,2,LGMN
MEF2C,1.35539102011386e-13,0.32316016046245,0.308,0.083,1.35457778550179e-09,2,MEF2C
CLEC5A,1.99914668812974e-13,0.336168259743933,0.376,0.121,1.99794720011686e-09,2,CLEC5A
HES1,4.55527446518075e-13,0.43779598787644,0.368,0.122,4.55254130050164e-09,2,HES1
HSPB1,4.58918418541995e-13,0.327269227836657,0.991,0.935,4.5864306749087e-09,2,HSPB1
IFITM3,9.92374850810336e-13,0.458896332722833,0.684,0.358,9.9177942589985e-09,2,IFITM3
GADD45G,1.08060578020324e-12,0.421275099881589,0.419,0.146,1.07995741673511e-08,2,GADD45G
IFRD1,1.30702403291706e-12,0.456095368324744,0.786,0.46,1.30623981849731e-08,2,IFRD1
SLC25A5,1.41477565919932e-12,0.361175034546806,0.838,0.677,1.4139267938038e-08,2,SLC25A5
CCDC107,1.44210497878473e-12,0.383621201266951,0.615,0.301,1.44123971579746e-08,2,CCDC107
HLA-DQA1,2.50927708109829e-12,0.273980422146078,0.957,0.906,2.50777151484963e-08,2,HLA-DQA1
GPR183,3.12353938480498e-12,0.390839071167747,0.615,0.253,3.12166526117409e-08,2,GPR183
MMP14,3.18583007680344e-12,0.290619985876329,0.308,0.086,3.18391857875736e-08,2,MMP14
HM13,4.54899588509219e-12,0.35846593591786,0.504,0.214,4.54626648756113e-08,2,HM13
ABI3,7.22105443595897e-12,0.319322096891653,0.376,0.131,7.2167218032974e-08,2,ABI3
ZFP36L2,1.03145699384924e-11,0.40116564071282,0.65,0.329,1.03083811965293e-07,2,ZFP36L2
IGSF6,3.74871032815492e-11,0.422413003211923,0.709,0.476,3.74646110195803e-07,2,IGSF6
WFDC2,5.00083926003594e-11,0.288800720576907,0.436,0.165,4.99783875647992e-07,2,WFDC2
ITGB2,1.20545262903475e-10,0.319220626485505,0.915,0.702,1.20472935745733e-06,2,ITGB2
FXYD5,1.21390951926501e-10,0.284314507185404,0.897,0.742,1.21318117355345e-06,2,FXYD5
CD99,1.43244216545556e-10,0.3649034230738,0.65,0.344,1.43158270015629e-06,2,CD99
LIPA,1.5062546611728e-10,0.50828754528295,0.684,0.502,1.5053509083761e-06,2,LIPA
CD300A,3.00090300785656e-10,0.262751951520203,0.393,0.149,2.99910246605185e-06,2,CD300A
CSF2RA,4.11838757139298e-10,0.283814296214809,0.453,0.177,4.11591653885014e-06,2,CSF2RA
SEC14L1,4.52614066891026e-10,0.320242911062489,0.436,0.189,4.52342498450891e-06,2,SEC14L1
RNASET2,5.151198734234e-10,0.284259599395154,0.88,0.727,5.14810801499346e-06,2,RNASET2
DNPH1,6.21603788956981e-10,0.289864055863241,0.419,0.171,6.21230826683607e-06,2,DNPH1
APOE1,8.19161509633061e-10,0.474448372979839,0.752,0.546,8.18670012727282e-06,2,APOE
SOX4,1.00705768179112e-09,0.31842593850185,0.359,0.134,1.00645344718204e-05,2,SOX4
IDH2,1.14484653866428e-09,0.325760054417726,0.453,0.209,1.14415963074108e-05,2,IDH2
FPR3,1.30668046920986e-09,0.320223225107963,0.47,0.197,1.30589646092834e-05,2,FPR3
CD48,1.36094389219922e-09,0.3140977829284,0.436,0.187,1.3601273258639e-05,2,CD48
CAPG,1.43727585612109e-09,0.276708691951898,0.897,0.797,1.43641349060742e-05,2,CAPG
FOS,2.74310944266071e-09,0.339143859647826,0.94,0.79,2.74146357699512e-05,2,FOS
MPV17L2,3.73959446448478e-09,0.254651745976423,0.274,0.09,3.73735070780608e-05,2,MPV17L2
CSF1R,4.69080734450404e-09,0.302643049960429,0.504,0.24,4.68799286009733e-05,2,CSF1R
FUCA1,8.6477198586745e-09,0.408701239789755,0.504,0.278,8.6425312267593e-05,2,FUCA1
SERPINH1,1.24763688850837e-08,0.369737729928475,0.658,0.368,0.000124688830637526,2,SERPINH1
DNAJB6,1.46799247815004e-08,0.27913183985131,0.872,0.736,0.000146711168266315,2,DNAJB6
CTSH,1.51068137276612e-08,0.297922917103085,0.94,0.7,0.000150977496394246,2,CTSH
C10orf54,1.52389277145542e-08,0.310787437549272,0.444,0.214,0.000152297843579254,2,C10orf54
SLC8B1,2.42187383072108e-08,0.272507376362719,0.359,0.143,0.000242042070642265,2,SLC8B1
ARL4C,3.6828952168987e-08,0.271954946584362,0.325,0.132,0.000368068547976856,2,ARL4C
CREBL2,5.12777193850073e-08,0.2581565626739,0.385,0.154,0.000512469527533763,2,CREBL2
SGK1,7.49346460411954e-08,0.325248124902097,0.726,0.446,0.000748896852535707,2,SGK1
AVPI1,1.24473297474883e-07,0.313334369754649,0.632,0.424,0.00124398613496398,2,AVPI1
TSC22D3,1.90105371098337e-07,0.275879013792269,0.812,0.64,0.00189991307875678,2,TSC22D3
IFITM2,2.03333980672251e-07,0.257423372588296,0.385,0.18,0.00203211980283847,2,IFITM2
AREG,2.16480143016773e-07,0.362139820404838,0.547,0.312,0.00216350254930963,2,AREG
NBEAL1,2.19558564578586e-07,0.271025007684279,0.761,0.563,0.00219426829439839,2,NBEAL1
DDIT4,2.40222470068116e-07,0.367264253414823,0.479,0.272,0.00240078336586075,2,DDIT4
PLD3,2.68383326430706e-07,0.349240962316171,0.675,0.503,0.00268222296434848,2,PLD3
HSPD1,2.69930030912489e-07,0.253727081880798,0.923,0.845,0.00269768072893942,2,HSPD1
TRA2B,3.14462979564827e-07,0.279952894225332,0.778,0.647,0.00314274301777088,2,TRA2B
CPM,4.44711018597799e-07,0.291897354086469,0.53,0.311,0.0044444419198664,2,CPM
CD37,4.67519285954211e-07,0.251468853956134,0.829,0.66,0.00467238774382638,2,CD37
COPE,5.85719514202924e-07,0.265235345988584,0.718,0.506,0.00585368082494403,2,COPE
JUNB,6.05742386287272e-07,0.29361779369617,0.932,0.751,0.00605378940855499,2,JUNB
CTSA,6.69901717499686e-07,0.283059606083804,0.761,0.556,0.00669499776469187,2,CTSA
NR4A2,8.13976729789071e-07,0.349933117198322,0.564,0.352,0.00813488343751198,2,NR4A2
ATP1B3,8.57436381638173e-07,0.253891079336327,0.889,0.696,0.0085692191980919,2,ATP1B3
DRAM2,9.00300692031235e-07,0.291110268739043,0.538,0.342,0.00899760511616017,2,DRAM2
SLC5A3,1.08090822378123e-06,0.33142171332686,0.684,0.488,0.0108025967884696,2,SLC5A3
CORO1B,1.88620750707604e-06,0.270618797687463,0.556,0.355,0.0188507578257179,2,CORO1B
CEBPD,2.45201716787874e-06,0.268298428329672,0.359,0.183,0.0245054595757801,2,CEBPD
TGFBI,2.47188849936263e-06,0.260581005329779,0.735,0.508,0.0247040536626302,2,TGFBI
HERPUD1,2.53799440642614e-06,0.308464403504209,0.675,0.483,0.0253647160978228,2,HERPUD1
CREM,2.66401710702311e-06,0.277576588452756,0.684,0.393,0.026624186967589,2,CREM
CLEC2B,2.81887218508706e-06,0.260223459752749,0.692,0.477,0.0281718086177601,2,CLEC2B
CD91,3.94814043905055e-06,0.269652344243695,0.897,0.737,0.0394577155478712,2,CD9
