p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
EVA1A,0,0.400762702980017,0.357,0.001,0,0,EVA1A
PTK7,5.08657740820264e-307,0.480276425591634,0.446,0.021,5.08352546175772e-303,0,PTK7
ERBB2,4.72442613487672e-306,0.58405177935681,0.56,0.055,4.72159147919579e-302,0,ERBB2
NINJ2,1.98505324707558e-305,0.603467619966173,0.533,0.049,1.98386221512733e-301,0,NINJ2
KRT7,3.19894957774133e-303,0.651333347073022,0.599,0.069,3.19703020799469e-299,0,KRT7
HPN,1.13276927124251e-302,0.392196074698553,0.346,0.001,1.13208960967976e-298,0,HPN
FAM84B,3.75152711907841e-302,0.519093608833017,0.487,0.034,3.74927620280696e-298,0,FAM84B
DRAM1,2.23418610285016e-301,0.679608051980895,0.653,0.105,2.23284559118845e-297,0,DRAM1
AK1,1.45949006278309e-299,0.750758343317099,0.761,0.143,1.45861436874542e-295,0,AK1
SMIM1,5.90766432121736e-299,0.468775795095859,0.43,0.019,5.90411972262463e-295,0,SMIM1
PYCR1,7.05444261776944e-298,0.423243369921596,0.372,0.007,7.05020995219878e-294,0,PYCR1
RNASE1,1.59419102478429e-297,0.764747396422113,0.761,0.126,1.59323451016942e-293,0,RNASE1
KCNS3,1.14966045028337e-296,0.375621719985219,0.338,0.001,1.1489706540132e-292,0,KCNS3
AQP1,4.65861104310274e-296,0.479587214258818,0.346,0.002,4.65581587647688e-292,0,AQP1
CRB3,7.50094254767263e-295,0.495720584364275,0.478,0.033,7.49644198214403e-291,0,CRB3
KRT19,4.30846919018902e-290,0.834163895747095,0.883,0.213,4.30588410867491e-286,0,KRT19
ACAD8,4.86735958788994e-289,0.548737729439594,0.536,0.053,4.86443917213721e-285,0,ACAD8
TNXB,3.57829517678646e-287,0.433716819958324,0.336,0.002,3.57614819968039e-283,0,TNXB
SCNN1B,4.88650839007019e-287,0.380860410455562,0.33,0.001,4.88357648503615e-283,0,SCNN1B
EHF,6.3196313950534e-285,0.635545003039529,0.598,0.078,6.31583961621637e-281,0,EHF
PLA2G10,1.57476262459915e-284,0.497338364319929,0.454,0.03,1.57381776702439e-280,0,PLA2G10
JUP,2.42255963846728e-283,0.580807013747643,0.569,0.068,2.4211061026842e-279,0,JUP
PON2,4.65064999948957e-282,0.743119061177173,0.764,0.176,4.64785960948987e-278,0,PON2
STXBP1,1.8791257434434e-281,0.487720618308127,0.452,0.031,1.87799826799733e-277,0,STXBP1
RCAN2,8.51735314023543e-281,0.406042103425535,0.33,0.002,8.51224272835129e-277,0,RCAN2
DSG2,1.36988049921627e-280,0.452800148766898,0.421,0.022,1.36905857091674e-276,0,DSG2
CAPN12,2.12515244262811e-279,0.371646355470134,0.324,0.002,2.12387735116254e-275,0,CAPN12
HAS3,2.29720756227047e-279,0.421706546220439,0.362,0.009,2.29582923773311e-275,0,HAS3
EGFR,5.015584031678e-278,0.465860878780412,0.428,0.025,5.012574681259e-274,0,EGFR
CLIC6,1.02014666147094e-276,0.625262981649554,0.618,0.086,1.01953457347406e-272,0,CLIC6
ITGB6,2.82594342733003e-276,0.391113820949122,0.318,0.001,2.82424786127363e-272,0,ITGB6
SEPW1,8.05557975782443e-276,0.701667926000738,0.98,0.593,8.05074640996973e-272,0,SEPW1
CCND1,3.97044165864845e-275,0.726974864822829,0.634,0.106,3.96805939365326e-271,0,CCND1
MUC1,3.97646058654395e-275,0.8002297519817,0.804,0.191,3.97407471019202e-271,0,MUC1
OCIAD2,2.73713671624571e-274,0.797893114299237,0.851,0.257,2.73549443421596e-270,0,OCIAD2
RPS6KA2,8.12003245153721e-274,0.468078724211306,0.451,0.032,8.11516043206629e-270,0,RPS6KA2
C10orf10,1.44338525304649e-270,0.531679853345754,0.496,0.047,1.44251922189467e-266,0,C10orf10
MET,2.0463715624244e-268,0.527575879768039,0.435,0.031,2.04514373948694e-264,0,MET
EPB41L5,2.3227382043901e-268,0.436404541674026,0.413,0.023,2.32134456146746e-264,0,EPB41L5
C8orf4,1.76164474183911e-266,0.823390530336724,0.736,0.15,1.76058775499401e-262,0,C8orf4
RHOB,1.40563754441597e-263,0.790317172877998,0.964,0.456,1.40479416188932e-259,0,RHOB
PARM1,2.43682342893927e-263,0.371752644474577,0.328,0.006,2.43536133488191e-259,0,PARM1
CDC42BPA,5.21488633522718e-260,0.495796693950987,0.458,0.039,5.21175740342605e-256,0,CDC42BPA
LTBP3,9.064962674022e-260,0.445509648180902,0.413,0.026,9.05952369641759e-256,0,LTBP3
DSEL,2.43067777378571e-258,0.363040646228743,0.317,0.004,2.42921936712143e-254,0,DSEL
ARMC9,1.2263518609937e-255,0.485613136703622,0.436,0.034,1.2256160498771e-251,0,ARMC9
PLS3,2.56108257634016e-255,0.526038296179041,0.5,0.053,2.55954592679435e-251,0,PLS3
RAMP1,4.03214152814666e-255,0.536564962960121,0.513,0.058,4.02972224322977e-251,0,RAMP1
PACSIN3,1.0076958861576e-254,0.356729280727991,0.329,0.007,1.00709126862591e-250,0,PACSIN3
MRC2,2.86144760890157e-254,0.385466183521223,0.326,0.007,2.85973074033623e-250,0,MRC2
C4BPA,8.32232560138941e-254,0.389332875570487,0.294,0.001,8.31733220602858e-250,0,C4BPA
NRP1,1.1016701603494e-253,0.612405914656906,0.607,0.111,1.10100915825319e-249,0,NRP1
GGCX,6.84394937178845e-253,0.580155164765164,0.593,0.092,6.83984300216538e-249,0,GGCX
ETV4,7.11224127733902e-253,0.33031652898359,0.297,0.002,7.10797393257262e-249,0,ETV4
GJB1,1.00818809065408e-252,0.356487611782253,0.298,0.002,1.00758317779968e-248,0,GJB1
CPM,1.15500148372473e-251,0.73015849472488,0.798,0.222,1.1543084828345e-247,0,CPM
MT-ND1,4.27154424845311e-251,0.30378944655767,1,0.995,4.26898132190404e-247,0,MT-ND1
GDF15,5.28835194028885e-251,0.75087673848236,0.664,0.127,5.28517892912468e-247,0,GDF15
PDZK1IP1,5.7258355345875e-250,0.523890995049722,0.547,0.072,5.72240003326675e-246,0,PDZK1IP1
KITLG,1.10681344775194e-249,0.437356989983487,0.402,0.026,1.10614935968329e-245,0,KITLG
C1orf198,1.54453289616898e-249,0.44019213103527,0.426,0.033,1.54360617643128e-245,0,C1orf198
PLAT,2.88845646785097e-249,0.363789863260683,0.299,0.003,2.88672339397026e-245,0,PLAT
SMARCA1,4.60189365327065e-248,0.377240370292184,0.354,0.014,4.59913251707869e-244,0,SMARCA1
LACTB2,7.97227786416803e-248,0.537940190446038,0.537,0.071,7.96749449744953e-244,0,LACTB2
TNNC2,1.43267528292856e-247,0.383776532874205,0.284,0.001,1.43181567775881e-243,0,TNNC2
BAMBI,6.22587706810129e-246,0.481647066727894,0.371,0.02,6.22214154186043e-242,0,BAMBI
TFCP2L1,2.87650388744761e-243,0.34745174419974,0.311,0.007,2.87477798511514e-239,0,TFCP2L1
AGR2,1.12722848199919e-242,0.757028673923732,0.668,0.128,1.12655214490999e-238,0,AGR2
HLF,1.64435883509063e-242,0.326617732283179,0.279,0.001,1.64337221978958e-238,0,HLF
RAB25,3.27622723288559e-242,0.579286326177699,0.627,0.109,3.27426149654586e-238,0,RAB25
MT-ND4,3.74568713089943e-242,0.251347161801202,1,0.999,3.74343971862089e-238,0,MT-ND4
HS6ST2,2.43751557092713e-241,0.337024237529601,0.287,0.002,2.43605306158457e-237,0,HS6ST2
SDR16C5,3.42548971602095e-241,0.461079377588388,0.435,0.038,3.42343442219134e-237,0,SDR16C5
PGRMC1,4.57927015755076e-241,0.685099080587678,0.804,0.241,4.57652259545623e-237,0,PGRMC1
SUSD4,6.26828660002167e-241,0.36080101474285,0.337,0.012,6.26452562806165e-237,0,SUSD4
GPRC5C,9.6186491775759e-239,0.45028045761486,0.46,0.046,9.61287798806935e-235,0,GPRC5C
RHPN1,2.94008419036917e-237,0.461131461098776,0.448,0.043,2.93832013985495e-233,0,RHPN1
CYB5A,3.94469661923146e-237,0.756479419220925,0.953,0.413,3.94232980125993e-233,0,CYB5A
CTTN,5.25046483538984e-236,0.55812149326416,0.598,0.099,5.24731455648861e-232,0,CTTN
GEM,1.31374123190002e-235,0.775905191026877,0.74,0.193,1.31295298716088e-231,0,GEM
WBP5,3.91987105905819e-235,0.702375011323681,0.785,0.221,3.91751913642276e-231,0,WBP5
LSR,7.113702194897e-235,0.51943077441797,0.546,0.077,7.10943397358006e-231,0,LSR
KRTCAP3,1.20315788274981e-234,0.46214164857149,0.457,0.047,1.20243598802016e-230,0,KRTCAP3
BAIAP2-AS1,3.28964858118341e-234,0.332298771063405,0.292,0.005,3.2876747920347e-230,0,BAIAP2-AS1
PTK2,5.3446566016149e-234,0.4708968535069,0.462,0.049,5.34144980765393e-230,0,PTK2
HNF1B,1.17746193044346e-232,0.30965578420161,0.268,0.001,1.1767554532852e-228,0,HNF1B
COL27A1,1.56489305598944e-232,0.303675158344,0.268,0.001,1.56395412015585e-228,0,COL27A1
TMEM92,7.44740181652586e-232,0.295772186856058,0.266,0,7.44293337543594e-228,0,TMEM92
SCUBE2,1.94098515859634e-231,0.310313955558721,0.267,0.001,1.93982056750118e-227,0,SCUBE2
P2RY6,3.56532286697034e-231,0.351344829302852,0.313,0.01,3.56318367325016e-227,0,P2RY6
ESAM,5.74828393804647e-231,0.317504184940792,0.272,0.002,5.74483496768364e-227,0,ESAM
SHROOM3,2.23456995273241e-230,0.529925029785396,0.555,0.082,2.23322921076077e-226,0,SHROOM3
CAV2,3.92234409650658e-230,0.430223735041474,0.398,0.031,3.91999069004868e-226,0,CAV2
TXNDC17,5.61425462684447e-230,0.708585239715792,0.841,0.296,5.61088607406836e-226,0,TXNDC17
RBPMS,1.24182815871344e-229,0.439503505089357,0.424,0.039,1.24108306181821e-225,0,RBPMS
GLS,4.35703604754359e-229,0.713810138287975,0.79,0.252,4.35442182591506e-225,0,GLS
PITX2,1.24397915626326e-228,0.312138686600015,0.268,0.001,1.2432327687695e-224,0,PITX2
ATOH8,3.4887370827804e-228,0.303301058557049,0.265,0.001,3.48664384053073e-224,0,ATOH8
TM4SF1,1.36188575113072e-227,0.669314987214718,0.715,0.154,1.36106861968004e-223,0,TM4SF1
TMEM97,6.88087337131292e-227,0.417605119886613,0.386,0.029,6.87674484729014e-223,0,TMEM97
GALNT10,1.01105668454367e-226,0.41215376146357,0.383,0.028,1.01045005053295e-222,0,GALNT10
SQLE,1.13480468639557e-226,0.694722616462206,0.678,0.168,1.13412380358373e-222,0,SQLE
COL8A1,3.02144791030809e-226,0.311805824870179,0.262,0.001,3.0196350415619e-222,0,COL8A1
LPCAT1,6.44108049799475e-223,0.60079573535009,0.621,0.128,6.43721584969596e-219,0,LPCAT1
AHCYL2,2.41100327694423e-222,0.293614023799772,0.258,0.001,2.40955667497806e-218,0,AHCYL2
EPDR1,2.03681637736499e-221,0.391709118531799,0.376,0.028,2.03559428753857e-217,0,EPDR1
TNC,2.79058417658904e-221,0.319950889240161,0.257,0.001,2.78890982608308e-217,0,TNC
SH3RF1,8.54246243958266e-220,0.419730322517005,0.411,0.038,8.53733696211891e-216,0,SH3RF1
RPPH1,1.38168252605361e-219,0.370926444085958,0.316,0.013,1.38085351653798e-215,0,RPPH1
HOOK2,2.49929148526278e-219,0.574438511432444,0.674,0.153,2.49779191037162e-215,0,HOOK2
VASN,4.77236177810595e-218,0.294944961363046,0.258,0.002,4.76949836103909e-214,0,VASN
IGFBP6,6.83056861146023e-218,0.351083562878784,0.256,0.001,6.82647027029336e-214,0,IGFBP6
FASN,1.32461788402343e-217,0.387008639460205,0.362,0.025,1.32382311329302e-213,0,FASN
CYTH3,2.31390755098644e-217,0.347281309214946,0.324,0.016,2.31251920645585e-213,0,CYTH3
