p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
51,1.13248685615938e-10,0.385124711678118,0.805,0.518,1.13180736404569e-06,1,THBD
52,1.63150963072581e-10,0.334445025526921,0.846,0.601,1.63053072494738e-06,1,SNX10
53,3.46188180348367e-10,0.36265278218921,0.626,0.38,3.45980467440158e-06,1,PAG1
54,5.7668245183964e-10,0.341482933231497,0.634,0.378,5.76336442368536e-06,1,RAB11FIP1
55,5.91646549911691e-10,0.336893983173756,0.577,0.271,5.91291561981744e-06,1,PHLDA3
56,7.93793697141415e-10,0.489338452598359,0.667,0.405,7.9331742092313e-06,1,MT1X
57,8.44560092181435e-10,0.335037218314074,0.48,0.219,8.44053356126126e-06,1,CA2
58,9.80980599145272e-10,0.344698123397911,0.902,0.684,9.80392010785785e-06,1,GCHFR
59,1.14931057214244e-09,0.359558081669125,0.732,0.389,1.14862098579915e-05,1,PPARG
60,1.19199119665077e-08,0.361426736670957,0.39,0.162,0.000119127600193278,1,MT1G
61,5.8986187920975e-67,0.778041109438249,0.726,0.093,5.89507962082224e-63,2,SPINK1
62,1.23379663265309e-57,0.887927315703137,0.855,0.16,1.23305635467349e-53,2,TMEM176B
63,4.38415583766763e-49,0.775446644305447,0.744,0.146,4.38152534416503e-45,2,TMEM176A
64,5.35352083543606e-40,0.564339311207488,0.556,0.094,5.35030872293479e-36,2,PIGR
65,5.49936317553983e-39,0.765645460704913,0.821,0.254,5.4960635576345e-35,2,PMP22
66,9.27501206833487e-39,0.818210043720485,0.88,0.358,9.26944706109387e-35,2,TREM2
67,2.16833968581963e-36,0.467308247713016,0.453,0.067,2.16703868200814e-32,2,NAPSA
68,2.32655760995062e-35,0.909461067879476,0.932,0.393,2.32516167538465e-31,2,HSPA6
69,1.7275988512787e-34,0.566923146673209,0.615,0.147,1.72656229196793e-30,2,SFTPB
70,4.74410060747874e-32,0.47964289841035,0.547,0.122,4.74125414711425e-28,2,HOPX
71,2.88418169758205e-29,0.763262556949217,0.778,0.254,2.8824511885635e-25,2,RGS1
72,1.08314595414075e-27,0.575273196852984,0.94,0.64,1.08249606656826e-23,2,HLA-DMB
73,3.19577927564949e-27,0.585743856335382,0.65,0.202,3.1938618080841e-23,2,RNASE6
74,3.87931308091256e-27,0.482717679411722,0.291,0.034,3.87698549306402e-23,2,SLC40A1
75,1.72014692645309e-24,0.695109692752565,0.846,0.384,1.71911483829721e-20,2,RGS2
76,3.56809604000202e-24,0.472453440181328,0.496,0.122,3.56595518237802e-20,2,FGL2
77,6.92128511322855e-23,0.476382093939659,0.487,0.127,6.91713234216061e-19,2,MARCKS
78,2.38003309080084e-22,0.575526212545764,0.889,0.532,2.37860507094636e-18,2,MS4A6A
79,1.50320296504957e-21,0.612128489418873,0.658,0.257,1.50230104327054e-17,2,CD14
80,5.38507530075606e-20,0.46825281095125,0.538,0.174,5.3818442555756e-16,2,RASSF4
81,1.11804529754535e-19,0.554336721428294,0.641,0.234,1.11737447036683e-15,2,ID3
82,6.37161581871841e-19,0.540244181203512,0.786,0.352,6.36779284922718e-15,2,ZFP36L1
83,3.62582239254989e-18,0.580253460835811,0.632,0.265,3.62364689911436e-14,2,ZNF331
84,5.46406211414172e-16,0.463685405251553,0.803,0.458,5.46078367687324e-12,2,RGS10
85,1.29865312376516e-15,0.498931993357751,0.735,0.359,1.2978739318909e-11,2,CXCR4
86,3.64983281562919e-15,0.495057250097284,0.855,0.62,3.64764291593982e-11,2,BAG3
87,1.27696917362896e-13,0.536279358850906,0.496,0.217,1.27620299212478e-09,2,LGMN
88,9.92374850810336e-13,0.458896332722833,0.684,0.358,9.9177942589985e-09,2,IFITM3
89,1.5062546611728e-10,0.50828754528295,0.684,0.502,1.5053509083761e-06,2,LIPA
